Scheme1,Date,Close,Adj Close,Current value Tata,Scheme 2,Close,Adj Close,Current Value Mahindra
Tata Motors,07/07/17,436.850006,436.850006,,M&M,687.549988,663.427795,
Tata Motors,10/07/17,446.950012,446.950012,,M&M,683.849976,659.857666,
Tata Motors,11/07/17,456.950012,456.950012,,M&M,695.075012,670.688782,
Tata Motors,12/07/17,461,461,,M&M,688.299988,664.15155,
Tata Motors,13/07/17,459.049988,459.049988,,M&M,685.349976,667.609619,
Tata Motors,14/07/17,451.299988,451.299988,,M&M,688.625,670.799866,
Tata Motors,17/07/17,454.149994,454.149994,,M&M,691.650024,673.746582,
Tata Motors,18/07/17,456.149994,456.149994,,M&M,690.224976,672.358459,
Tata Motors,19/07/17,460.600006,460.600006,,M&M,691.700012,673.795349,
Tata Motors,20/07/17,460.149994,460.149994,,M&M,696.299988,678.276245,
Tata Motors,21/07/17,464.600006,464.600006,,M&M,691.525024,673.624817,
Tata Motors,24/07/17,464,464,,M&M,694.25,676.279297,
Tata Motors,25/07/17,456.100006,456.100006,,M&M,695,677.009888,
Tata Motors,26/07/17,457.299988,457.299988,,M&M,706.525024,688.236572,
Tata Motors,27/07/17,445.399994,445.399994,,M&M,699.125,681.028137,
Tata Motors,28/07/17,445.850006,445.850006,,M&M,697.025024,678.982483,
Tata Motors,31/07/17,444.600006,444.600006,,M&M,701,682.854553,
Tata Motors,01/08/17,446.899994,446.899994,,M&M,713.424988,694.957886,
Tata Motors,02/08/17,440.350006,440.350006,,M&M,707.575012,689.259338,
Tata Motors,03/08/17,431.450012,431.450012,,M&M,708.424988,690.087341,
Tata Motors,04/08/17,435.600006,435.600006,,M&M,709.150024,690.79364,
Tata Motors,07/08/17,430,430,,M&M,699.650024,681.539551,
Tata Motors,08/08/17,430,430,,M&M,698.099976,680.029663,
Tata Motors,09/08/17,416.049988,416.049988,,M&M,695.700012,677.691772,
Tata Motors,10/08/17,380.200012,380.200012,,M&M,694.700012,676.717712,
Tata Motors,11/08/17,374.5,374.5,,M&M,673.174988,655.749817,
Tata Motors,14/08/17,375.399994,375.399994,,M&M,677.849976,660.303711,
Tata Motors,16/08/17,389.25,389.25,,M&M,684.299988,666.586853,
Tata Motors,17/08/17,385.299988,385.299988,,M&M,682.174988,664.516785,
Tata Motors,18/08/17,380.399994,380.399994,,M&M,685.575012,667.828796,
Tata Motors,21/08/17,374.350006,374.350006,,M&M,687.424988,669.63092,
Tata Motors,22/08/17,373.600006,373.600006,,M&M,687.299988,669.509155,
Tata Motors,23/08/17,379.950012,379.950012,,M&M,686.424988,668.65686,
Tata Motors,24/08/17,384.149994,384.149994,,M&M,687.900024,670.093689,
Tata Motors,28/08/17,379.299988,379.299988,,M&M,688.974976,671.140747,
Tata Motors,29/08/17,376.100006,376.100006,,M&M,688.849976,671.018982,
Tata Motors,30/08/17,378.5,378.5,,M&M,680.049988,662.446777,
Tata Motors,31/08/17,376.549988,376.549988,,M&M,672.375,654.97052,
Tata Motors,01/09/17,390.850006,390.850006,,M&M,674.400024,656.943115,
Tata Motors,04/09/17,383.399994,383.399994,,M&M,664.075012,646.885376,
Tata Motors,05/09/17,388.149994,388.149994,,M&M,662.450012,645.302368,
Tata Motors,06/09/17,382.700012,382.700012,,M&M,658.224976,641.186707,
Tata Motors,07/09/17,378.149994,378.149994,,M&M,669.375,652.048157,
Tata Motors,08/09/17,375.049988,375.049988,,M&M,647.349976,630.593262,
Tata Motors,11/09/17,375.299988,375.299988,,M&M,640.25,623.677063,
Tata Motors,12/09/17,388.25,388.25,,M&M,650.875,634.027039,
Tata Motors,13/09/17,389.649994,389.649994,,M&M,652.174988,635.293396,
Tata Motors,14/09/17,404.399994,404.399994,,M&M,645.275024,628.572083,
Tata Motors,15/09/17,401.75,401.75,,M&M,646.5,629.76532,
Tata Motors,18/09/17,404.950012,404.950012,,M&M,647.424988,630.666321,
Tata Motors,19/09/17,423.649994,423.649994,,M&M,647.025024,630.276733,
Tata Motors,20/09/17,414.799988,414.799988,,M&M,646.424988,629.692139,
Tata Motors,21/09/17,413.649994,413.649994,,M&M,646.325012,629.594788,
Tata Motors,22/09/17,411.799988,411.799988,,M&M,643.224976,626.575012,
Tata Motors,25/09/17,408.200012,408.200012,,M&M,629.674988,613.375793,
Tata Motors,26/09/17,411.25,411.25,,M&M,623.025024,606.89801,
Tata Motors,27/09/17,404.899994,404.899994,,M&M,615.525024,599.592102,
Tata Motors,28/09/17,401.399994,401.399994,,M&M,617.325012,601.34552,
Tata Motors,29/09/17,401.5,401.5,,M&M,626.875,610.648254,
Tata Motors,03/10/17,416,416,,M&M,632.599976,616.225037,
Tata Motors,04/10/17,423.549988,423.549988,,M&M,644.525024,627.841431,
